DrugID,Formula,DrugName,Target,Disease,NewDisease
DB03880,C23H31N3O4S2,Batimastat,MMP3,Idiopathic pulmonary fibrosis; Tissue repair disorder; Tumor development; Inflammatory disorder,"Venom of the western diamondback rattlesnake, Crotalus atrox"
DB08864,C22H18N6,Rilpivirine,POL; SCNAA,Human immunodeficiency virus infection,Chronic liver injury
DB01058,C19H24N2O2,Praziquantel,HPGDS,Schistosomiasis,Psoriasis
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB00481,C28H27NO4S,Raloxifene,ESR1,Osteoporosis,Liver Cancer
DB00641,C25H38O5,Simvastatin,HMDH,Epilepsy; Hypercholesterolaemia,Prostate cancer
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Coronavirus Disease 2019 (COVID-19),Dengue Virus
DB01407,C12H18Cl2N2O,Clenbuterol,ADRB2,Asthma; Chronic breathing disorder,Down syndrome
DB00560,C29H39N5O8,Tigecycline,F4NA87,Skin infection,Carbapenem-resistant Enterobacteriaceae (CRE)
DB00540,C19H21N,Nortriptyline,SC6A4,Bladder cancer; Depression,Multiple myeloma
DB08882,C25H28N8O2,Linagliptin,DPP4,Type-2 diabetes,Colorectal cancer
DB00746,C25H48N6O8,Deferoxamine,Iron ions,Acute iron or aluminum toxicity,Pompe disease
DB09031,C21H46NO4P,Miltefosine,PA21B,Leishmaniasis; Visceral leishmaniasis,Visceral leishmaniasis
DB08604,C12H7Cl3O2,Triclosan,Q965D5,Malaria,Prostate cancer
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB00564,C15H12N2O,Carbamazepine,voltage-gated sodium channels,Congestive heart failure; Hypertension; Depression; Epilepsy; Type-1 diabetes; Gastric adenocarcinoma,Epileptic encephalopathy
DB12783,C10H15N3O5,Benserazide,DDC,Parkinson,Tumor
DB07348,C16H24O4,Brefeldin A,CRISPR/Cas9 activator; HSV-1,Anticancer; antiviral,Inflammatory bowel disease
DB11459,C43H63NO11,Selamectin,Glutamate-gated chloride channels in parasites,"Parasitic diseases such as river blindness, elephantiasis and scabies",Uveal melanoma
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB00602,C95H146O28,Lvermectin,Glutamate-gated chloride channels in parasites,Parasitic infestations,Covid-19
DB00535,C14H13N5O5S2,Cefdinir,Bacterial cell wall,Bacterial infection,Tuberculosis (TB)
DB00997,C27H29NO11,Doxorubicin,TOP2A; TOP2B; TERT,Type 2 diabetes; Solid tumour/cancer; Hepatocellular carcinoma; Breast cancer,Cervical cancer
DB00920,C19H19NOS,Ketotifen,HRH1,Allergic conjunctivitis,SARS-CoV-2 infection
DB06282,C21H25ClN2O3,Levocetirizine,transmembrane G protein-coupled receptors; histamine H1 receptors,"Cutaneous, respiratory, and ocular allergies",Alopecia
DB00520,C52H88N10O15,Caspofungin,Fungal cell wall,Fungal infection,Alzheimer's disease
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB01091,C23H27N,Butenafine,ERG1,Dermatologic infection,Visceral Leishmaniasis
