DrugName,DrugID,PubChemID,Target,Disease,Side_effect,NewDirectTarget,NewIndirectTarget,NewDisease,Evidence,Insilico,Invitro,Invivo,Clinicaltrial,SupportedSentences,PMID
Spiramycin,DB06145,6440717,Gram-positive bacteria,Bacterial infection,,,LPS; iNOS; MAPKs; ERK; JNK; NF-?oB,Anti-inflammatory,Human skin primary irritation tests,,Human skin primary irritation tests,,,Anti-Inflammatory Effects of Spiramycin in LPS-Activated RAW 264.7 Macrophages,35630676
Disulfiram,DB00822,3117,AL3A2,Alcohol dependence,,,metastasis related proteins (PCNA; MMP-2); Wnt and NF-?oB pathways (MKN-45; SGC-7901),Gastric cancer,Transwell assays; ELISA,,Transwell assays; ELISA,,,The anti-alcohol dependency drug disulfiram inhibits the viability and progression of gastric cancer cells by regulating the Wnt and NF-?oB pathways,32529870
Fluvoxamine,DB00176,3404,Serotonin system,Depression,,,A?242,Alzheimer's disease (AD),Aggregation kinetic experiments; transmission electron microscopy experiments; dot-blot study,,Aggregation kinetic experiments; Transmission electron microscopy experiments; Dot blot study,,,These studies demonstrate that SSRIs have the potential to prevent A?242 aggregation by direct binding preventing A?242 aggregation and fibrillogenesis and could be beneficial to AD patients on SSRIs.,30157623
Paroxetine,DB00715,43815,SC6A4,Depression,,,A?242,Alzheimer's disease (AD),Aggregation kinetic experiments; transmission electron microscopy experiments; dot-blot study,,Aggregation kinetic experiments; Transmission electron microscopy experiments; Dot blot study,,,These studies demonstrate that SSRIs have the potential to prevent A?242 aggregation by direct binding preventing A?242 aggregation and fibrillogenesis and could be beneficial to AD patients on SSRIs.,30157623
Fluoxetine,DB00472,3386,SC6A4,Depression,,,A?242,Alzheimer's disease (AD),Aggregation kinetic experiments; transmission electron microscopy experiments; dot-blot study,,Aggregation kinetic experiments; Transmission electron microscopy experiments; Dot blot study,,,These studies demonstrate that SSRIs have the potential to prevent A?242 aggregation by direct binding preventing A?242 aggregation and fibrillogenesis and could be beneficial to AD patients on SSRIs.,30157623
Sertraline,DB01104,68617,SC6A4,Depression,,,A?242,Alzheimer's disease (AD),Aggregation kinetic experiments; transmission electron microscopy experiments; dot-blot study,,Aggregation kinetic experiments; Transmission electron microscopy experiments; Dot blot study,,,These studies demonstrate that SSRIs have the potential to prevent A?242 aggregation by direct binding preventing A?242 aggregation and fibrillogenesis and could be beneficial to AD patients on SSRIs.,30157623
Escitalopram,DB01175,146570,SC6A4,Depression,,,A?242,Alzheimer's disease (AD),Aggregation kinetic experiments; transmission electron microscopy experiments; dot-blot study,,Aggregation kinetic experiments; Transmission electron microscopy experiments; Dot blot study,,,These studies demonstrate that SSRIs have the potential to prevent A?242 aggregation by direct binding preventing A?242 aggregation and fibrillogenesis and could be beneficial to AD patients on SSRIs.,30157623
Sildenafil,DB00203,5212,PDE5,Erectile dysfunction; Coronavirus Disease 2019 (COVID-19),,,CYP3A4,Lung cancer,in vitro experiments; Mouse modeling,,Cytotoxicity assay; Reactive oxygen species (ROS) production,Mouse modeling,,"Sildenafil has also been proven as an agent to decrease drug-efflux by cancer cells and increases blood perfusion to lung tissue, which can potentially increase the dosage of chemotherapeutic agents delivered to lung cancer cells compared to healthy tissue.",29110626
Tamoxifen,DB00675,2733526,ESR1,Breast cancer,,,NRF2,Immune-mediated diseases,PCR; Western blot; Luciferase assay; ELISA; Cell viability Assays,,RT-qPCR; Western blot; Luciferase assay; ELISA; Cell viability assays,,,"In summary, our study demonstrates that pharmacological concentrations of TAM act in macrophages independently of ER?¡À and are able to skew macrophage polarizationinduced by inflammatory conditions. These results provide novel hypothesis for TAM pharmacology in breast cancer and other off-target clinical indications and provide molecular targets for future drug development strategies.",34653752
Nitazoxanide,DB00507,41684,PNO,Diarrhea,,,HCT116 GFP cell,Quiescent and glucose-deprived clonogenic colon tumour cells,Monolayer experiments; spheroid experiments; clonogenic assay,,Monolayer experiments; Spheroid experiments; Clonogenic assay,,,Selective radiosensitization by nitazoxanide of quiescent clonogenic colon cancer tumour cells,35261637
AZD-7762,DB12242,11152667,CHK1,Solid tumour/cancer,,,Lyn; Fyn,Degranulation of mast cells and allergic response,in vitro protein kinase assay; experiments with mast cells in vitro; mouse modeling,,Protein kinase assay; Experiments with mast cells,Mouse modeling,,"Now, we demonstrate for the first time that AZD7762 effectively suppresses the degranulation of mast cells and allergic response in vivo via the inhibition of Lyn and Fyn in mast cells.",29777684
Simeprevir,DB06290,24873435,POLG,Chronic HCV-1 infection,,,cell membranes,MRSA,"membrane permeability assay, membrane potential assay, intracellular ATP level assay, and electron microscope observation; mouse modeling",,Membrane permeability assay; Membrane potential assay; Intracellular ATP level assay; Electron microscope observation,Mouse modeling,,Anti-hepatitis C virus drug simeprevir: a promising antimicrobial agent against MRSA,35338386
Ivermectin,DB00602,46936176,GABA,Onchocerciasis,,,Th1-type,Tegumentary leishmaniasis,In vitro experiments; immunological parasitological and biochemical evaluations,,Immunological parasitological; Biochemical evaluations,,,Exploring drug repositioning for leishmaniasis treatment: Ivermectin plus polymeric micelles induce immunological response and protection against tegumentary leishmaniasis,36774730
Butenafine,DB01091,2484,ERG1,Dermatologic infection,,,enzyme squalene epoxidase,Visceral Leishmaniasis,Solubility Studies; Pseudo-Ternary Phase Diagrams; Angle of Repose (AoR) Measurements; Particle Size Measurements; ANOVA test,,Solubility studies; Pseudo ternary phase diagrams; AoR measurements; Particle size measurements,,,Repurposing Butenafine as An Oral Nanomedicine for Visceral Leishmaniasis,31330776
Masitinib,DB11526,10074640,SRC,Amyotrophic lateral sclerosis; Metastatic gastric or gastroesophageal junction cancer; Multiple sclerosis; Gastrointestinal stromal tumour; Ovarian cancer; Pancreatic cancer,,,Organic Cation Transporters,COVID-19,Fluorescence Measurements; HPLC; Statistical Analysis,,Fluorescence measurements; HPLC; Statistical analysis,,,"Interaction of Masitinib with Organic Cation Transporters; Tyrosine kinase inhibitors (TKI) such as Masitinib were reported to be useful as therapeutic options in malignant disorders and nonmalignant diseases, like coronavirus disease 2019 (COVID-19).",36430667
Levocetirizine,DB06282,1549000,transmembrane G protein-coupled receptors; histamine H1 receptors,"Cutaneous, respiratory, and ocular allergies",,,prostaglandin,Alopecia,modified ethanol injection method; Studenta€?s t-test; Transmission electron microscopy (TEM); Explicit molecular dynamics simulation; Histopathologic evaluation,Molecular dynamics simulation,Modified ethanol injection method; TEM; Histopathologic evaluation,,,"Repurposing levocetirizine hydrochloride loaded into cationic ceramide/phospholipid composite (CCPCs) for management of alopecia: central composite design optimization, in- silico and in-vivo studies",36047012
Methylene blue,DB09241,6099,redox indicator,Acquired methemoglobinemia,,,SIRT1; AMPK; CPT-1; PPAR?¡À,Nonalcoholic fatty liver disease; steatosis and steatohepatitis,Immunoblotting PCR and reporter assays,,Immunoblotting PCR;  Reporter assays,,,"SIRT1 activation by methylene blue, a repurposed drug, leads to AMPK-mediated inhibition of steatosis and steatohepatitis",24486702
Trimipramine,DB00726,5584,SC6A2,Depression,,,Autocrine survival signals involving neurotransmitters and their G protein-coupled receptors,Small cell lung cancer (SCLC),MTT Assays and Calcium Measurement; Immunoblot Analysis and Immunostaining; fluorescent analysis; Student t test,,MTT assays; Calcium measurement; Immunoblot analysis; Immunostaining; Fluorescent analysis,,,A Drug Repositioning Approach Identifies Tricyclic Antidepressants as Inhibitors of Small Cell Lung Cancer and Other Neuroendocrine Tumors,24078773
Raloxifene,DB00481,5035,ESR1,Osteoporosis,,,HepG2 and HuH7 cells,Liver Cancer,3-(4 5-dimethylthiazol-2-yl)-2 5-diphenyltetrazolium bromide (MTT) colorimetric method; Annexin V-FITC kit (Thermo Fisher Scientific Waltham MA USA); Colony formation assay; One-way ANOVA analysis; Tukeya€?s test,,MTT colorimetric method; Annexin V-FITC kit; Colony formation assay,,,The Combination Sorafenib-raloxifene-loratadine as a Novel Potential Therapeutic Approach Against Human Liver Cancer,37103074
Loratadine,DB00455,3957,HRH1,Allergy; Allergic rhinitis,,,HepG2 and HuH7 cells,Liver Cancer,3-(4 5-dimethylthiazol-2-yl)-2 5-diphenyltetrazolium bromide (MTT) colorimetric method; Annexin V-FITC kit (Thermo Fisher Scientific Waltham MA USA); Colony formation assay; One-way ANOVA analysis; Tukeya€?s test,,MTT colorimetric method; Annexin V-FITC kit; Colony formation assay,,,The Combination Sorafenib-raloxifene-loratadine as a Novel Potential Therapeutic Approach Against Human Liver Cancer,37103074
Batimastat,DB03880,5362422,MMP3,Idiopathic pulmonary fibrosis; Tissue repair disorder; Tumor development; Inflammatory disorder,,,Group I (PI) metalloprotease (CAMP-2),"Venom of the western diamondback rattlesnake, Crotalus atrox",Mass Spectrometry Analysis; Fluorogenic Assays; Fibrinogenolytic Assay; Aggregation Assay; Haemolytic Assay; LDH Cytotoxicity Assay,,Mass spectrometry analysis; Fluorogenic assays; Fibrinogenolytic assay; Aggregation assay; Haemolytic assay; LDH cytotoxicity assay,,,"Repurposing Cancer Drugs Batimastat and Marimastat to Inhibit the Activity of a Group I Metalloprotease from the Venom of the Western Diamondback Rattlesnake, Crotalus atrox",32397419
Marimastat,DB00786,119031,MMP1; MMP2; MMP7,Pancreatic cancer; Lung cancer; Tissue repair disorder; Tumor development; Inflammatory disorder,,,Group I (PI) metalloprotease (CAMP-2),"Venom of the western diamondback rattlesnake, Crotalus atrox",Mass Spectrometry Analysis; Fluorogenic Assays; Fibrinogenolytic Assay; Aggregation Assay; Haemolytic Assay; LDH Cytotoxicity Assay,,Mass spectrometry analysis; Fluorogenic assays; Fibrinogenolytic assay; Aggregation assay; Haemolytic assay; LDH cytotoxicity assay,,,"Repurposing Cancer Drugs Batimastat and Marimastat to Inhibit the Activity of a Group I Metalloprotease from the Venom of the Western Diamondback Rattlesnake, Crotalus atrox",32397419
Praziquantel,DB01058,4891,HPGDS,Schistosomiasis,,,STAT3,Psoriasis,Mouse modeling,,,Mouse modeling,,The anthelmintic drug praziquantel has been used as a standard treatment for schistosomiasis for over 40 years. This study aimed to repurpose praziquantel to treat psoriasis.,34363611
Dexamethasone,DB01234,5743,GCR,Coronavirus Disease 2019 (COVID-19),,,PPAR-?3,Dedifferentiated liposarcoma,Adipogenic differentiation assay; in vivo xenograft models,,Adipogenic differentiation assay,Xenograft,,This study suggests a potential application of drug repositioning in which adipogenesis-inducing compounds could be used to treat DDLPS patients in a clinical setting.,31069877
Indomethacin,DB00328,3715,PGH2,Rheumatoid arthritis,,,PPAR-?3,Dedifferentiated liposarcoma,Adipogenic differentiation assay; in vivo xenograft models,,Adipogenic differentiation assay,Xenograft,,This study suggests a potential application of drug repositioning in which adipogenesis-inducing compounds could be used to treat DDLPS patients in a clinical setting.,31069877
Insulin human,DB00030,118984375,insulin receptors,Diabetic complication,,,PPAR-?3,Dedifferentiated liposarcoma,Adipogenic differentiation assay; in vivo xenograft models,,Adipogenic differentiation assay,Xenograft,,This study suggests a potential application of drug repositioning in which adipogenesis-inducing compounds could be used to treat DDLPS patients in a clinical setting.,31069877
3-isobutyl-1-methyl-7H-xanthine,DB07954,3758,AA2BR; PDE4B; PDE4D; PDE5A; PDE4A; AA2AR; AA1R; AA3R; PDE2A; PDE3A,Chronic obstructive pulmonary disease; Bronchial Asthma,,,PPAR-?3,Dedifferentiated liposarcoma,Adipogenic differentiation assay; in vivo xenograft models,,Adipogenic differentiation assay,Xenograft,,This study suggests a potential application of drug repositioning in which adipogenesis-inducing compounds could be used to treat DDLPS patients in a clinical setting.,31069877
